
191; 281; w12;
 189; 297; z13;
312; 235; w7;
 325; 241; z13;
278; 182; w10;
 302; 198; z13;
73; 370; w11;
 51; 359; z13;
171; 279; w11;
 160; 304; z13;
92; 231; w1;
 121; 217; z13;
177; 262; w13;
 168; 276; z13;
92; 41; w1;
 126; 29; z13;
298; 272; w12;
 301; 244; z13;
250; 155; w12;
 241; 157; z13;
331; 241; w2;
 309; 251; z13;
274; 260; w4;
 274; 249; z13;
71; 130; w1;
 71; 157; z13;
189; 284; w7;
 203; 262; z13;
194; 141; w11;
 171; 163; z13;
308; 95; w10;
 298; 113; z13;
122; 121; w10;
 99; 113; z13;
126; 121; w9;
 138; 135; z13;
137; 278; w13;
 103; 284; z13;
267; 19; w13;
 282; 20; z13;
28; 245; w4;
 41; 252; z13;
309; 157; w1;
 319; 165; z13;
362; 142; w3;
 372; 151; z13;
75; 7; w10;
 56; 17; z13;
90; 370; w8;
 88; 348; z13;
163; 249; w2;
 173; 233; z13;
79; 179; w9;
 82; 169; z13;
90; 101; w8;
 101; 117; z13;
54; 145; w10;
 35; 156; z13;
210; 11; w4;
 189; 17; z13;
257; 267; w8;
 257; 287; z13;
127; 286; w2;
 142; 286; z13;
217; 343; w3;
 206; 356; z13;
99; 131; w11;
 133; 139; z13;
307; 173; w11;
 288; 174; z13;
77; 204; w4;
 89; 198; z13;
267; 235; w6;
 247; 222; z13;
54; 4; w7;
 46; 35; z13;
59; 111; w12;
 79; 134; z13;
96; 66; w8;
 111; 60; z13;
213; 53; w5;
 215; 24; z13;
65; 250; w10;
 53; 257; z13;
68; 236; w9;
 55; 242; z13;
85; 326; w8;
 98; 304; z13;
173; 339; w2;
 179; 354; z13;
252; 250; w8;
 229; 278; z13;
158; 40; w5;
 161; 11; z13;
252; 48; w11;
 270; 39; z13;
135; 213; w3;
 130; 232; z13;
130; 226; w11;
 144; 229; z13;
128; 358; w12;
 143; 380; z13;
324; 193; w2;
 311; 177; z13;
396; 39; w3;
 403; 45; z13;
160; 19; w12;
 137; 40; z13;
159; 49; w11;
 150; 20; z13;
153; 204; w8;
 156; 180; z13;
12; 90; w2;
 29; 60; z13;
197; 168; w9;
 182; 169; z13;
341; 194; w4;
 343; 187; z13;
101; 241; w3;
 89; 225; z13;
248; 256; w6;
 236; 287; z13;
179; 138; w8;
 186; 118; z13;
98; 376; w11;
 122; 383; z13;
211; 94; w12;
 223; 64; z13;
167; 211; w8;
 179; 193; z13;
119; 75; w11;
 124; 53; z13;
97; 111; w3;
 84; 109; z13;
245; 54; w2;
 217; 61; z13;
328; 28; w13;
 305; 46; z13;
76; 354; w9;
 94; 354; z13;
323; 29; w13;
 344; 31; z13;
185; 48; w12;
 178; 43; z13;
258; 201; w8;
 284; 198; z13;
57; 352; w9;
 85; 335; z13;
165; 164; w13;
 189; 148; z13;
44; 40; w5;
 28; 37; z13;
377; 101; w4;
 353; 115; z13;
100; 45; w13;
 114; 44; z13;
167; 100; w3;
 183; 76; z13;
88; 62; w6;
 92; 67; z13;
63; 101; w9;
 52; 105; z13;
153; 305; w4;
 166; 302; z13;
289; 117; w10;
 321; 126; z13;
54; 185; w10;
 34; 175; z13;
58; 152; w11;
 52; 122; z13;
306; 99; w7;
 321; 69; z13;
232; 223; w3;
 240; 191; z13;
121; 124; w10;
 130; 105; z13;
27; 389; w1;
 46; 394; z13;
21; 167; w3;
 25; 143; z13;
269; 259; w12;
 255; 274; z13;
271; 279; w2;
 260; 247; z13;
344; 28; w13;
 351; 41; z13;
231; 263; w3;
 235; 263; z13;
245; 252; w9;
 234; 268; z13;
31; 30; w2;
 14; 28; z13;
170; 323; w11;
 172; 351; z13;
284; 107; w10;
 286; 96; z13;
213; 178; w4;
 187; 180; z13;
143; 135; w7;
 118; 132; z13;
158; 222; w7;
 175; 216; z13;
214; 37; w12;
 216; 43; z13;
304; 105; w4;
 287; 80; z13;
191; 40; w5;
 169; 29; z13;
177; 155; w5;
 167; 139; z13;
202; 254; w3;
 196; 261; z13;
129; 233; w7;
 148; 238; z13;
178; 325; w8;
 174; 319; z13;
145; 229; w12;
 156; 204; z13;
126; 333; w10;
 117; 350; z13;
86; 309; w5;
 78; 304; z13;
105; 109; w4;
 118; 124; z13;
313; 91; w9;
 296; 95; z13;
187; 210; w1;
 195; 213; z13;
117; 292; w7;
 103; 266; z13;
175; 39; w5;
 162; 31; z13;
212; 194; w1;
 224; 176; z13;
247; 60; w4;
 255; 78; z13;
387; 6; w13;
 377; 28; z13;
188; 270; w10;
 204; 274; z13;
38; 369; w8;
 8; 352; z13;
251; 25; w8;
 230; 43; z13;
14; 59; w11;
 35; 55; z13;
25; 121; w13;
 34; 137; z13;
106; 98; w13;
 93; 78; z13;
61; 192; w8;
 90; 197; z13;
59; 259; w2;
 68; 274; z13;
40; 4; w7;
 60; 12; z13;
328; 209; w11;
 301; 214; z13;
301; 171; w4;
 293; 206; z13;
358; 160; w10;
 364; 142; z13;
69; 182; w10;
 94; 156; z13;
32; 115; w9;
 7; 129; z13;
143; 275; w9;
 146; 277; z13;
257; 217; w7;
 268; 226; z13;
70; 91; w12;
 53; 87; z13;
25; 253; w11;
 18; 275; z13;
141; 26; w2;
 116; 37; z13;
114; 340; w3;
 133; 328; z13;
276; 204; w2;
 301; 209; z13;
217; 92; w12;
 238; 82; z13;
307; 118; w7;
 295; 128; z13;
132; 79; w13;
 147; 96; z13;
160; 91; w8;
 173; 77; z13;
136; 44; w1;
 153; 62; z13;
252; 101; w9;
 254; 125; z13;
44; 279; w3;
 69; 285; z13;
199; 282; w5;
 179; 283; z13;
215; 88; w3;
 226; 74; z13;
23; 138; w8;
 16; 136; z13;
369; 69; w9;
 389; 74; z13;
